Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
TSLA,NaiveZero,0.031894118300774314,100.0,0.051892888184628866,-6.327924160487441e-05,0.5118243243243243,0.0,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ResidualHybrid,0.03261677735746809,150.18295195273544,0.05274030157690448,-0.03299213075367091,0.46283783783783783,-0.11920726720505868,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,ConfidenceWeight,0.03292190629810155,159.86229258765084,0.05310195083488153,-0.04720750989211564,0.4560810810810811,-0.1141087993944073,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
TSLA,RegimeSwitching,0.03450912748381645,261.55844396957946,0.0546381456632731,-0.10867358104741975,0.46114864864864863,-0.11501316289624898,0,0,log_return,0.10316892973282235,0.5124113932389319,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ARIMA,0.006955627208453614,169.88883382597396,0.00992994622727405,-0.008722348641754918,0.5142857142857142,-0.003036464487972725,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,RandomForest,0.007596531100335004,527.4984947911419,0.010304384423602386,-0.08623040325863629,0.48819875776397514,0.007435864464187086,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,LSTM,0.006894078150518058,130.75015885729997,0.009820272079117799,0.013436848425732117,0.5130434782608696,0.06286682273787421,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,NaiveZero,0.0068985349337796825,100.0,0.00991957310580182,-0.00661596580362378,0.55527950310559,0.0,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ResidualHybrid,0.006946045580609478,190.44097212240015,0.00986275031907062,0.00488350026816553,0.5018633540372671,-0.007528821683852978,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,ConfidenceWeight,0.006900658557372477,143.86224299978772,0.009797296122009906,0.018047864459902252,0.5180124223602485,0.03550926685255043,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
SPY,RegimeSwitching,0.006811793533165385,145.5574247479419,0.009495227968806901,0.07766510099248147,0.5204968944099378,0.08533314041048859,0,0,log_return,0.1323548118344382,0.052111958093151035,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
