Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ExperimentId,ExperimentMethod,ARIMA_d_meta,ARIMA_d_test,target_mode,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode,residual_weight_RandomForest,residual_weight_LSTM
JPM,E7_ConfidenceWeight,0.010115758961436823,114.23366691524149,0.01467292963179788,-0.010617832921049342,0.48695652173913045,0.0104544552180147,E7,confidence_weight,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
XOM,ARIMA,0.011007984144298513,105.60987817795319,0.014498244420720226,-0.004918726286474051,0.4968944099378882,-0.03656476115250302,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,RandomForest,0.01154243444242965,185.72871535882746,0.01503889843277118,-0.08126503051578227,0.493167701863354,-0.0031247980722314654,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,LSTM,0.011034878442888623,143.6353049964649,0.014565347037170466,-0.014242438058782225,0.5279503105590062,0.02454924086200721,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,NaiveZero,0.01097737453009823,100.0,0.01446682133599648,-0.0005673820667586593,0.5279503105590062,0.0,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,NaiveLag1,0.015612948885218515,452.4794115866238,0.020397014149964362,-0.9889932047036103,0.5304347826086957,0.023303991883622067,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E1_EqualAverage,0.01106982830366539,124.97571608432692,0.014548882484934347,-0.011950750902445906,0.4993788819875776,-0.012203942117716419,E1,equal_average,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E2_LinearStacker,0.01106982830366539,124.97571608432689,0.014548882484934347,-0.011950750902445906,0.4993788819875776,-0.012203942117716419,E2,linear_stacker,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E3_RollingRMSE,0.011065134617257135,124.27072665496375,0.01454440663813481,-0.011328209641643383,0.506832298136646,-0.012223656133822884,E3,rolling_rmse,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E4_SignalVoting,0.011103456895984049,131.98944935629544,0.014595487512140133,-0.01844438095135148,0.4993788819875776,-0.021031611689367197,E4,signal_voting,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E5_RegimeSwitch,0.011064455564528213,133.68641865051822,0.014493114569709298,-0.004207720016477401,0.5043478260869565,0.011990078398064357,E5,regime_switching,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E6_ResidualHybrid,0.010992121952970864,120.28345821233547,0.014497037960921189,-0.004751486231032054,0.5329192546583851,-0.017806426258572584,E6,residual_hybrid,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
XOM,E7_ConfidenceWeight,0.011024990956160526,116.45924220786227,0.014530386534694973,-0.009379406563670756,0.4993788819875776,-0.025800379277426795,E7,confidence_weight,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.06702872161306862,0.4362655878718958
TSLA,ARIMA,0.031994080045889335,113.0615850249876,0.05196132238350854,-0.002702702819415981,0.49324324324324326,-0.044499588999293675,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,RandomForest,0.0345779639693069,263.83809095179623,0.05466244977385378,-0.10966011958700728,0.46114864864864863,-0.11696110727962877,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,LSTM,0.03304637054019153,173.6537975389996,0.05330832577674979,-0.05536304255738811,0.4797297297297297,-0.0860440331789661,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,NaiveZero,0.031894118300774314,100.0,0.051892888184628866,-6.327924160487441e-05,0.5118243243243243,0.0,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,NaiveLag1,0.046631028560178325,556.1731019620437,0.07136050388148822,-0.8911571167194519,0.4966216216216216,0.01983954661983441,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,E1_EqualAverage,0.032905859434875936,172.50841087269043,0.053025421571121376,-0.04419126400682161,0.46283783783783783,-0.12152630369817347,E1,equal_average,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,E2_LinearStacker,0.032905859434875936,172.50841087269043,0.053025421571121376,-0.04419126400682161,0.46283783783783783,-0.12152630369817347,E2,linear_stacker,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,E3_RollingRMSE,0.03288277573522233,171.21996214316098,0.05300119724621719,-0.043237417726989635,0.46283783783783783,-0.12157309508171082,E3,rolling_rmse,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
TSLA,E4_SignalVoting,0.033158797868315285,189.2749997899732,0.05338176689733106,-0.05827292324801481,0.4560810810810811,-0.12081419552250994,E4,signal_voting,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.10316892973282217,0.5124113932389319
